model,phase,actual,predicted,count
Gaussian Naive Bayes,sigmoid,disgust,fearful,0
Gaussian Naive Bayes,sigmoid,disgust,happy,1
Gaussian Naive Bayes,sigmoid,disgust,neutral,0
Gaussian Naive Bayes,sigmoid,disgust,sad,1
Gaussian Naive Bayes,sigmoid,disgust,surprised,0
Gaussian Naive Bayes,sigmoid,fearful,angry,1
Gaussian Naive Bayes,sigmoid,fearful,calm,4
Gaussian Naive Bayes,sigmoid,fearful,disgust,2
Gaussian Naive Bayes,sigmoid,fearful,fearful,12
Gaussian Naive Bayes,sigmoid,fearful,happy,5
Gaussian Naive Bayes,sigmoid,fearful,neutral,0
Gaussian Naive Bayes,sigmoid,fearful,sad,7
Gaussian Naive Bayes,sigmoid,fearful,surprised,1
Gaussian Naive Bayes,sigmoid,happy,angry,1
Gaussian Naive Bayes,sigmoid,happy,calm,3
Gaussian Naive Bayes,sigmoid,happy,disgust,3
Gaussian Naive Bayes,sigmoid,happy,fearful,8
Gaussian Naive Bayes,sigmoid,happy,happy,4
Gaussian Naive Bayes,sigmoid,happy,neutral,1
Gaussian Naive Bayes,sigmoid,happy,sad,7
Gaussian Naive Bayes,sigmoid,happy,surprised,5
Gaussian Naive Bayes,sigmoid,neutral,angry,0
Gaussian Naive Bayes,sigmoid,neutral,calm,7
Gaussian Naive Bayes,sigmoid,neutral,disgust,0
Gaussian Naive Bayes,sigmoid,neutral,fearful,0
Gaussian Naive Bayes,sigmoid,neutral,happy,0
Gaussian Naive Bayes,sigmoid,neutral,neutral,2
Gaussian Naive Bayes,sigmoid,neutral,sad,7
Gaussian Naive Bayes,sigmoid,neutral,surprised,0
Gaussian Naive Bayes,sigmoid,sad,angry,0
Gaussian Naive Bayes,sigmoid,sad,calm,13
Gaussian Naive Bayes,sigmoid,sad,disgust,0
Gaussian Naive Bayes,sigmoid,sad,fearful,1
Gaussian Naive Bayes,sigmoid,sad,happy,6
Gaussian Naive Bayes,sigmoid,sad,neutral,0
Gaussian Naive Bayes,sigmoid,sad,sad,12
Gaussian Naive Bayes,sigmoid,sad,surprised,0
Gaussian Naive Bayes,sigmoid,surprised,angry,3
Gaussian Naive Bayes,sigmoid,surprised,calm,8
Gaussian Naive Bayes,sigmoid,surprised,disgust,4
Gaussian Naive Bayes,sigmoid,surprised,fearful,4
Gaussian Naive Bayes,sigmoid,surprised,happy,3
Gaussian Naive Bayes,sigmoid,surprised,neutral,1
Gaussian Naive Bayes,sigmoid,surprised,sad,2
Gaussian Naive Bayes,sigmoid,surprised,surprised,7
Gaussian Naive Bayes,isotonic,angry,angry,13
Gaussian Naive Bayes,isotonic,angry,calm,5
Gaussian Naive Bayes,isotonic,angry,disgust,1
Gaussian Naive Bayes,isotonic,angry,fearful,5
Gaussian Naive Bayes,isotonic,angry,happy,4
Gaussian Naive Bayes,isotonic,angry,neutral,0
Gaussian Naive Bayes,isotonic,angry,sad,0
Gaussian Naive Bayes,isotonic,angry,surprised,4
